"handle","name","content","replies","retweets","favorite","unix_timestamp","date","url","search_url","hashtags"
"@TomthunkitsMind","Tomthunkit™","This drone footage captures NYC workers burying bodies in a mass grave on Hart Island, near the Bronx. For over a century, the island has served as a potter’s field for deceased with no known next of kin or families unable to pay for funerals. https://t.co/b2THksNwzN 05 #FBR","1","5","3","1587386175000","20 Apr 2020","TomthunkitsMind/status/1252214497865072646","https://twitter.com/search?lang=en&q=drone&src=typed_query","FBR"
"@N0l30DYKN0WS","Nobody 🌍🌎🌏 #StaySafe","@AlexDusseti @Conflits_FR Mais quoi ? Un fusil anti drone te faire tomber le drone comme une mouche...","0","0","0","1587386009000","20 Apr 2020","N0l30DYKN0WS/status/1252213798502567938","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@america37340269","americanpatriot","@RealSaavedra @ejs5501 Those drone are mapping the US for China shot them down they are being used by the Chinese intell","0","0","0","1587387515000","20 Apr 2020","america37340269/status/1252220114847571969","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@taisho_0310","たいしょー","インドネシア&マレーシアにてドローンで撮影した映像をYouTubeにアップしました！ 拙い編集ですが、ぜひ見てみてください！ https://t.co/rJI9EFHbq5 #旅 #旅行 #海外旅行 #youtube #drone #Indonesia #malaysia #空撮 #aerialshoot https://t.co/mVFOugXclN","0","1","0","1587386138000","20 Apr 2020","taisho_0310/status/1252214339961892865","https://twitter.com/search?lang=en&q=drone&src=typed_query","旅 | 旅行 | 海外旅行 | youtube | drone | Indonesia | malaysia | 空撮 | aerialshoot"
"@EPristo","El Pristo","@JohnMphatsoe @RonaldLamola True. Even police were supposed to use drones to monitor hotspots where there is lack of adherence to lock downs.","0","0","0","1587385772000","20 Apr 2020","EPristo/status/1252212807174688769","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@_daffyduke_","Olivier Duquesne","Applis, drones... l’alibi sanitaire d’une surveillance généralisée https://t.co/a6p1P5vVXZ https://t.co/QHB4Yathua","0","0","0","1587386484000","20 Apr 2020","_daffyduke_/status/1252215790901899264","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@MyronKassaraba","Myron Kassaraba","What about safe spaces, screening, cleaning and disinfecting? Residential buildings, offices, public places. UV drones to clean a movie theater or TD Garden after a show/game? https://t.co/Lb2XB77njV","0","0","1","1587385776000","20 Apr 2020","MyronKassaraba/status/1252212820655120384","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@THESuper_Nana","🇺🇸Supernana","Video: US F-15s, drones help bomb, gun down 23 ISIS terrorists in Iraq https://t.co/sXv6uvOeGY via @amermilnews","0","0","0","1587386628000","20 Apr 2020","THESuper_Nana/status/1252216396349607937","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@dronechris75","Chris Drone","“It was impossible. It's still impossible.” An ER nurse in an overwhelmed hospital and the decision she had to make https://t.co/PxTB5108d9","0","0","0","1587385838000","20 Apr 2020","dronechris75/status/1252213083738685442","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@Zuhahaniye","spesial","Yok kız kardeşiyle karşıdan karşıya teleferik sistemi kurdu yok ayakkabıya korona bulaşıyor diye ayağının altına deynek yaptı yok karşı komşusuyla holde kahve keyfi yaptı yok drone ile bakkaldan ekmek aldı yok maskesi yokmuş portakaldan maske yaptı TC yine adamı son sürat yoruyor","0","0","0","1587386750000","20 Apr 2020","Zuhahaniye/status/1252216908872630272","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@Valentina_NSFW","MissValentina","@SkceEed Good Drone~","1","0","1","1587387105000","20 Apr 2020","Valentina_NSFW/status/1252218396701265922","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@EverittCrypto","Paul Everitt","@winsoar @DJIGlobal What’s a good first time drone. What has good range & flying time Budget up to 1k","0","0","0","1587386393000","20 Apr 2020","EverittCrypto/status/1252215410516283392","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@MikeHorner2","Mike Horner","@POTUS @marklevinshow @SecPompeo @JudgeJeanine @JudicialWatch The US is starting to look a lot like Cuba, Soviet Union, etc what with severe movement restrictions, surveillance drones, neighbors ratting out neighbors,etc!!","0","0","0","1587387409000","20 Apr 2020","MikeHorner2/status/1252219673376182273","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@EjeDigital","EJE Digital","⚡️ La verdad sobre los drones repartidores: la tecnología no está tan madura como nos vendieron https://t.co/Wq4u0QGmrl","0","1","1","1587386993000","20 Apr 2020","EjeDigital/status/1252217925936783360","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@DaDrone","Sam McKinney","@GOPLeader Okay, when YOUR side stop with all of the pet projects that YOU have. Otherwise it's pot calling the kettle.","0","0","0","1587387192000","20 Apr 2020","DaDrone/status/1252218759453999106","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@FormhalsPaula","PAULA FORMHALS","@NYGovCuomo THIS is how you open the beach. Stop the hysteria! Florida Beach Drone Footage Counters Media's 'Packed Beaches' Narrative https://t.co/uSCmJhqABp via @PrepForThat1 @realDonaldTrump @RepMattGaetz @GovRonDeSantis","0","0","0","1587386747000","20 Apr 2020","FormhalsPaula/status/1252216896230957058","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@droneseer","Drone Seer","@WizanthonyRS What software?","0","0","0","1587387697000","20 Apr 2020","droneseer/status/1252220879855116289","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@AvaPortFineArt","Ava Porter","@GadSaad I prefer human deliverers. I'd be ticked off a tad to see a drone. By tipping humans, I like to feel I can contribute in a small way to someone's income.","0","0","0","1587385717000","20 Apr 2020","AvaPortFineArt/status/1252212575686799360","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@MisterMPW","Mr MPW","As part of this service, I will conduct a full audit of your Operations Manual against the current CAA guidance and complete a full update of your CAA Drone Operations Manual, to the latest CAA standards/guidance - https://t.co/KLWtAdFwML","0","2","2","1587386101000","20 Apr 2020","MisterMPW/status/1252214185062211590","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@Ramiii_22","Rami","#StayatHome https://t.co/tBNnJHEs8l","16","435","1319","1587323622000","19 Apr 2020","Ramiii_22/status/1251952129461362690","https://twitter.com/search?lang=en&q=drone&src=typed_query","StayatHome"
"@madlaw1071","Madlaw","@MattWalshBlog Let’s hover drones over abortion clinics","0","0","1","1587387106000","20 Apr 2020","madlaw1071/status/1252218401671589893","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@CallMeGdubG","👓Jehoshaphat Biden👓","The bulk of U.S. citizens, fueled by the media, don't empathize with the Chinese primarily because they view the Chinese people are mindless drones. The spin of the Chinese government's PR machine is a distant 2nd reason.","0","0","1","1587387654000","20 Apr 2020","CallMeGdubG/status/1252220700376563712","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@FrancoisCarrel","François Carrel","«Nous, ici à New York, vivons ce dont l’histoire se souviendra comme un échec total de la société moderne, un acte de génocide de classe et l’une des périodes les plus honteuses de notre pays"". https://t.co/NaF0ZpQTFm via @libe","1","33","36","1587380091000","20 Apr 2020","FrancoisCarrel/status/1252188978125701120","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
